key,name,system,energy_TeV,centrality,observable,x,xlow,xhigh,y,stat_minus,stat_plus,sys_minus,sys_plus,source_row,table_doi
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,3.4000000000000004,3.2,3.6,0.312928,0.00034228,0.00034228,0.0097654,0.0097654,29,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,3.8,3.6,4.0,0.262523,0.00037679,0.00037679,0.0080363,0.0080363,30,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,4.5,4.0,5.0,0.205135,0.00028102,0.00028102,0.006415,0.006415,31,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,5.5,5.0,6.0,0.149629,0.00035456,0.00035456,0.0041125,0.0041125,32,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,7.0,6.0,8.0,0.131015,0.00039877,0.00039877,0.0036368,0.0036368,33,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,9.0,8.0,10.0,0.139377,0.00081726,0.00081726,0.0039827,0.0039827,34,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,11.5,10.0,13.0,0.161794,0.0014023,0.0014023,0.005419,0.005419,35,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,16.5,13.0,20.0,0.20074,0.0025778,0.0025778,0.0091875,0.0091875,36,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,25.0,20.0,30.0,0.294104,0.0092379,0.0092379,0.016616,0.016616,37,10.17182/hepdata.86210.v1/t8
pb_h,h±,Pb-Pb,5.02,0–5%,RAA,40.0,30.0,50.0,0.364925,0.025986,0.025986,0.0243,0.0243,38,10.17182/hepdata.86210.v1/t8
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.11,0.1,0.12,0.16154,0.00087461,0.00087461,0.015484,0.015484,0,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.13,0.12,0.14,0.16233,0.00075349,0.00075349,0.010557,0.010557,1,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.15000000000000002,0.14,0.16,0.16461,0.00073063,0.00073063,0.010121,0.010121,2,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.16999999999999998,0.16,0.18,0.16779,0.00072466,0.00072466,0.010036,0.010036,3,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.19,0.18,0.2,0.17194,0.00072977,0.00072977,0.010156,0.010156,4,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.225,0.2,0.25,0.179,0.00067206,0.00067206,0.010923,0.010923,5,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.275,0.25,0.3,0.19022,0.00071269,0.00071269,0.012075,0.012075,6,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.32499999999999996,0.3,0.35,0.21362,0.00029097,0.00029097,0.0073156,0.0073156,7,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.375,0.35,0.4,0.22907,0.00028692,0.00028692,0.0079099,0.0079099,8,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.42500000000000004,0.4,0.45,0.24353,0.0003185,0.0003185,0.0087395,0.0087395,9,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.475,0.45,0.5,0.25824,0.00034913,0.00034913,0.009509,0.009509,10,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.525,0.5,0.55,0.26673,0.00032102,0.00032102,0.0078182,0.0078182,11,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.575,0.55,0.6,0.27671,0.00037301,0.00037301,0.0082497,0.0082497,12,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.625,0.6,0.65,0.28556,0.00044739,0.00044739,0.0093428,0.0093428,13,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.675,0.65,0.7,0.29839,0.00047821,0.00047821,0.01026,0.01026,14,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.725,0.7,0.75,0.31392,0.00041672,0.00041672,0.012689,0.012689,15,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.775,0.75,0.8,0.32833,0.00045863,0.00045863,0.013695,0.013695,16,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.825,0.8,0.85,0.34043,0.00047981,0.00047981,0.013948,0.013948,17,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.875,0.85,0.9,0.35262,0.00054264,0.00054264,0.014256,0.014256,18,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.925,0.9,0.95,0.36515,0.00061525,0.00061525,0.01479,0.01479,19,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,0.975,0.95,1.0,0.37647,0.00069257,0.00069257,0.015086,0.015086,20,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.05,1.0,1.1,0.38664,0.00055809,0.00055809,0.015468,0.015468,21,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.15,1.1,1.2,0.38562,0.0006362,0.0006362,0.015614,0.015614,22,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.25,1.2,1.3,0.41313,0.0031551,0.0031551,0.017393,0.017393,23,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.35,1.3,1.4,0.42058,0.00088409,0.00088409,0.018329,0.018329,24,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.45,1.4,1.5,0.42161,0.00098397,0.00098397,0.017864,0.017864,25,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.55,1.5,1.6,0.41939,0.0011032,0.0011032,0.017613,0.017613,26,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.65,1.6,1.7,0.40893,0.0012396,0.0012396,0.022465,0.022465,27,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.75,1.7,1.8,0.40732,0.0013328,0.0013328,0.021993,0.021993,28,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.85,1.8,1.9,0.39549,0.0014094,0.0014094,0.021445,0.021445,29,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,1.95,1.9,2.0,0.38777,0.0015122,0.0015122,0.022151,0.022151,30,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,2.1,2.0,2.2,0.34905,0.0010525,0.0010525,0.016944,0.016944,31,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,2.3,2.2,2.4,0.32321,0.0010277,0.0010277,0.014027,0.014027,32,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,2.5,2.4,2.6,0.30017,0.0011329,0.0011329,0.011786,0.011786,33,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,2.7,2.6,2.8,0.2765,0.001186,0.001186,0.010313,0.010313,34,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,2.9,2.8,3.0,0.25535,0.0012258,0.0012258,0.0094899,0.0094899,35,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,3.1,3.0,3.2,0.2337,0.0013038,0.0013038,0.0086088,0.0086088,36,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,3.3,3.2,3.4,0.21398,0.0013511,0.0013511,0.0075877,0.0075877,37,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,3.5,3.4,3.6,0.19395,0.0013908,0.0013908,0.0070298,0.0070298,38,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,3.7,3.6,3.8,0.17901,0.0013987,0.0013987,0.0062252,0.0062252,39,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,3.9,3.8,4.0,0.16635,0.0014483,0.0014483,0.0059759,0.0059759,40,10.17182/hepdata.104923.v1/t15
pb_pi,π±,Pb-Pb,5.02,0–5%,RAA,4.25,4.0,4.5,0.14756,0.00096945,0.00096945,0.0055561,0.0055561,41,10.17182/hepdata.104923.v1/t15
